timestamp,agent_name,provider,model,duration_ms,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,estimated_cost_usd
2026-05-05T04:40:47.912Z,org-list-gatekeeper,anthropic,claude-sonnet-4-6,18387,2193,957,0,0,0.020934
2026-05-05T04:40:51.989Z,manifest-gatekeeper,anthropic,claude-sonnet-4-6,22587,302,1089,7468,0,0.018575
2026-05-05T04:41:10.836Z,intake,anthropic,claude-sonnet-4-6,48784,21,2446,6033,111,0.038916
2026-05-05T04:41:12.350Z,org-list-gatekeeper,anthropic,claude-sonnet-4-6,24437,2205,1117,0,0,0.023370
2026-05-05T04:41:23.712Z,manifest-gatekeeper,anthropic,claude-sonnet-4-6,31721,277,1443,7468,0,0.023885
2026-05-05T04:41:44.086Z,org-list-gatekeeper,anthropic,claude-sonnet-4-6,31734,2195,1622,0,0,0.030915
2026-05-05T04:41:45.548Z,manifest-gatekeeper,anthropic,claude-sonnet-4-6,21835,264,1122,7468,0,0.019070
2026-05-05T04:42:01.170Z,intake,anthropic,claude-sonnet-4-6,50332,21,2530,6033,111,0.040176
2026-05-05T04:42:08.888Z,security,anthropic,claude-sonnet-4-6,154696,150,7231,3744,0,0.109588
2026-05-05T04:42:26.071Z,intake,anthropic,claude-sonnet-4-6,24899,77,1310,6033,0,0.021460
2026-05-05T04:42:50.013Z,intake,anthropic,claude-sonnet-4-6,23937,21,1302,6033,56,0.021550
2026-05-05T04:44:03.192Z,intake,anthropic,claude-sonnet-4-6,73177,116,3559,6033,0,0.055195
2026-05-05T04:44:58.069Z,security,anthropic,claude-sonnet-4-6,169179,156,8136,3744,0,0.123163
2026-05-05T04:44:59.333Z,intake,anthropic,claude-sonnet-4-6,56138,21,2806,6033,95,0.044256
2026-05-05T04:46:00.912Z,intake,anthropic,claude-sonnet-4-6,61577,21,3166,6033,95,0.049656
2026-05-05T04:48:11.628Z,skeptic,anthropic,claude-sonnet-4-6,25152,1157,1197,0,7519,0.046151
2026-05-05T04:48:18.830Z,org-list-gatekeeper,anthropic,claude-sonnet-4-6,32105,2171,1683,0,0,0.031758
2026-05-05T04:48:30.612Z,manifest-gatekeeper,anthropic,claude-sonnet-4-6,44131,383,2318,0,7468,0.062775
2026-05-05T04:48:30.650Z,intake,anthropic,claude-sonnet-4-6,43878,132,2234,6033,0,0.035320
2026-05-05T04:48:32.822Z,orchestration,anthropic,claude-sonnet-4-6,45424,162,2056,0,4407,0.047366
2026-05-05T04:48:39.566Z,org-list-gatekeeper,anthropic,claude-sonnet-4-6,20733,2169,1012,0,0,0.021687
2026-05-05T04:48:46.673Z,skeptic,anthropic,claude-sonnet-4-6,35041,963,1812,7519,0,0.029436
2026-05-05T04:48:52.036Z,manifest-gatekeeper,anthropic,claude-sonnet-4-6,21421,302,1058,7468,0,0.018110
2026-05-05T04:48:55.145Z,org-list-gatekeeper,anthropic,claude-sonnet-4-6,15576,2193,849,0,0,0.019314
2026-05-05T04:49:14.258Z,org-list-gatekeeper,anthropic,claude-sonnet-4-6,19111,2205,996,0,0,0.021555
2026-05-05T04:49:17.695Z,manifest-gatekeeper,anthropic,claude-sonnet-4-6,25657,277,1279,7468,0,0.021425
2026-05-05T04:49:20.966Z,intake,anthropic,claude-sonnet-4-6,50314,21,2478,6033,111,0.039396
2026-05-05T04:49:38.289Z,manifest-gatekeeper,anthropic,claude-sonnet-4-6,20592,264,971,7468,0,0.016805
2026-05-05T04:49:49.026Z,org-list-gatekeeper,anthropic,claude-sonnet-4-6,34767,2195,1750,0,0,0.032835
2026-05-05T04:50:12.541Z,intake,anthropic,claude-sonnet-4-6,51572,21,2657,6033,111,0.042081
2026-05-05T04:50:18.086Z,security,anthropic,claude-sonnet-4-6,151190,150,7349,0,3744,0.124275
2026-05-05T04:50:40.770Z,intake,anthropic,claude-sonnet-4-6,28226,77,1468,6033,0,0.023830
2026-05-05T04:51:08.083Z,intake,anthropic,claude-sonnet-4-6,27311,21,1455,6033,56,0.023845
2026-05-05T04:52:07.749Z,intake,anthropic,claude-sonnet-4-6,59664,116,2960,6033,0,0.046210
2026-05-05T04:53:10.683Z,security,anthropic,claude-sonnet-4-6,172595,156,8192,3744,0,0.124003
2026-05-05T04:53:14.644Z,intake,anthropic,claude-sonnet-4-6,66892,21,3073,6033,95,0.048261
2026-05-05T04:54:15.495Z,intake,anthropic,claude-sonnet-4-6,60850,21,3065,6033,95,0.048141
2026-05-05T05:00:50.551Z,skeptic,anthropic,claude-sonnet-4-6,24252,1157,1195,0,7519,0.046121
2026-05-05T05:00:57.294Z,org-list-gatekeeper,anthropic,claude-sonnet-4-6,30777,2171,1596,0,0,0.030453
2026-05-05T05:00:58.023Z,technical_writer,anthropic,claude-sonnet-4-6,31498,1424,1478,0,7894,0.051772
2026-05-05T05:01:15.684Z,intake,anthropic,claude-sonnet-4-6,49125,132,2483,0,6033,0.059869
2026-05-05T05:01:15.847Z,org-list-gatekeeper,anthropic,claude-sonnet-4-6,18550,2169,918,0,0,0.020277
2026-05-05T05:01:19.959Z,manifest-gatekeeper,anthropic,claude-sonnet-4-6,53661,383,2303,0,7468,0.062550
2026-05-05T05:01:21.568Z,orchestration,anthropic,claude-sonnet-4-6,53937,162,2545,0,4407,0.054701
2026-05-05T05:01:23.767Z,skeptic,anthropic,claude-sonnet-4-6,33210,963,1749,7519,0,0.028491
2026-05-05T05:01:34.197Z,org-list-gatekeeper,anthropic,claude-sonnet-4-6,18349,2193,980,0,0,0.021279
2026-05-05T05:01:36.659Z,technical_writer,anthropic,claude-sonnet-4-6,38633,23,1893,7894,1401,0.036017
2026-05-05T05:01:46.125Z,manifest-gatekeeper,anthropic,claude-sonnet-4-6,26163,302,1260,7468,0,0.021140
2026-05-05T05:01:54.714Z,org-list-gatekeeper,anthropic,claude-sonnet-4-6,20515,2205,1012,0,0,0.021795
2026-05-05T05:02:04.698Z,intake,anthropic,claude-sonnet-4-6,49010,21,2471,6033,111,0.039291
2026-05-05T05:02:14.788Z,manifest-gatekeeper,anthropic,claude-sonnet-4-6,28661,277,1423,7468,0,0.023585
2026-05-05T05:02:17.902Z,technical_writer,anthropic,claude-sonnet-4-6,41241,23,2110,7894,1401,0.039272
2026-05-05T05:02:28.754Z,org-list-gatekeeper,anthropic,claude-sonnet-4-6,34039,2195,1655,0,0,0.031410
2026-05-05T05:02:34.978Z,manifest-gatekeeper,anthropic,claude-sonnet-4-6,20189,264,1082,7468,0,0.018470
2026-05-05T05:02:50.484Z,technical_writer,anthropic,claude-sonnet-4-6,32581,23,1632,7894,1401,0.032102
2026-05-05T05:02:52.793Z,intake,anthropic,claude-sonnet-4-6,48092,21,2446,6033,111,0.038916
2026-05-05T05:03:03.429Z,security,anthropic,claude-sonnet-4-6,156724,150,7641,0,3744,0.128655
2026-05-05T05:03:19.619Z,intake,anthropic,claude-sonnet-4-6,26824,77,1424,6033,0,0.023170
2026-05-05T05:03:24.644Z,technical_writer,anthropic,claude-sonnet-4-6,34156,23,1717,7894,1401,0.033377
2026-05-05T05:03:44.625Z,intake,anthropic,claude-sonnet-4-6,25004,21,1296,6033,56,0.021460
2026-05-05T05:04:44.521Z,intake,anthropic,claude-sonnet-4-6,59895,116,3044,6033,0,0.047470
2026-05-05T05:05:43.521Z,intake,anthropic,claude-sonnet-4-6,58999,21,2994,6033,95,0.047076
2026-05-05T05:05:53.151Z,security,anthropic,claude-sonnet-4-6,169719,156,7820,3744,0,0.118423
2026-05-05T05:06:41.999Z,intake,anthropic,claude-sonnet-4-6,58477,21,2953,6033,95,0.046461
2026-05-05T05:16:24.129Z,skeptic,anthropic,claude-sonnet-4-6,23779,1157,1206,0,7519,0.046286
2026-05-05T05:16:31.614Z,org-list-gatekeeper,anthropic,claude-sonnet-4-6,31022,2171,1750,0,0,0.032763
2026-05-05T05:16:40.453Z,technical_writer,anthropic,claude-sonnet-4-6,39881,1424,1945,0,7894,0.058777
2026-05-05T05:16:50.794Z,orchestration,anthropic,claude-sonnet-4-6,49117,162,2306,0,4407,0.051116
2026-05-05T05:16:52.573Z,org-list-gatekeeper,anthropic,claude-sonnet-4-6,20956,2169,1029,0,0,0.021942
2026-05-05T05:16:54.252Z,skeptic,anthropic,claude-sonnet-4-6,30119,963,1482,7519,0,0.024486
2026-05-05T05:16:56.637Z,intake,anthropic,claude-sonnet-4-6,56020,132,2708,0,6033,0.063244
2026-05-05T05:17:01.478Z,manifest-gatekeeper,anthropic,claude-sonnet-4-6,61129,383,2882,0,7468,0.071235
2026-05-05T05:17:09.508Z,org-list-gatekeeper,anthropic,claude-sonnet-4-6,16933,2193,872,0,0,0.019659
2026-05-05T05:17:14.909Z,technical_writer,anthropic,claude-sonnet-4-6,34452,23,1646,7894,1401,0.032312
2026-05-05T05:17:21.532Z,manifest-gatekeeper,anthropic,claude-sonnet-4-6,20051,302,1008,7468,0,0.017360
2026-05-05T05:17:28.633Z,org-list-gatekeeper,anthropic,claude-sonnet-4-6,19123,2205,986,0,0,0.021405
2026-05-05T05:17:44.552Z,technical_writer,anthropic,claude-sonnet-4-6,29639,23,1485,7894,1401,0.029897
2026-05-05T05:17:47.578Z,intake,anthropic,claude-sonnet-4-6,50936,21,2540,6033,111,0.040326
2026-05-05T05:17:50.378Z,manifest-gatekeeper,anthropic,claude-sonnet-4-6,28845,277,1374,7468,0,0.022850
2026-05-05T05:18:02.219Z,org-list-gatekeeper,anthropic,claude-sonnet-4-6,33584,2195,1679,0,0,0.031770
2026-05-05T05:18:07.446Z,manifest-gatekeeper,anthropic,claude-sonnet-4-6,17067,264,897,7468,0,0.015695
2026-05-05T05:18:14.531Z,technical_writer,anthropic,claude-sonnet-4-6,29978,23,1487,7894,1401,0.029927
2026-05-05T05:18:28.212Z,security,anthropic,claude-sonnet-4-6,147465,150,7545,0,3744,0.127215
2026-05-05T05:18:31.363Z,intake,anthropic,claude-sonnet-4-6,43784,21,2268,6033,111,0.036246
2026-05-05T05:18:55.878Z,intake,anthropic,claude-sonnet-4-6,24513,77,1337,6033,0,0.021865
2026-05-05T05:18:58.485Z,technical_writer,anthropic,claude-sonnet-4-6,43953,23,2188,7894,1401,0.040442
2026-05-05T05:19:25.203Z,intake,anthropic,claude-sonnet-4-6,29323,21,1489,6033,56,0.024355
2026-05-05T05:20:28.121Z,intake,anthropic,claude-sonnet-4-6,62916,116,3226,6033,0,0.050200
2026-05-05T05:21:03.467Z,security,anthropic,claude-sonnet-4-6,155252,156,7725,3744,0,0.116998
2026-05-05T05:21:24.183Z,intake,anthropic,claude-sonnet-4-6,56061,21,2938,6033,95,0.046236
2026-05-05T05:22:25.117Z,intake,anthropic,claude-sonnet-4-6,60931,21,3159,6033,95,0.049551
2026-05-05T05:24:40.889Z,manifest-gatekeeper,anthropic,claude-sonnet-4-6,50651,383,2354,0,7468,0.063315
2026-05-05T05:25:02.070Z,manifest-gatekeeper,anthropic,claude-sonnet-4-6,21179,302,1017,7468,0,0.017495
2026-05-05T05:25:31.434Z,manifest-gatekeeper,anthropic,claude-sonnet-4-6,29361,277,1487,7468,0,0.024545
2026-05-05T05:25:53.372Z,manifest-gatekeeper,anthropic,claude-sonnet-4-6,21937,264,1092,7468,0,0.018620
2026-05-05T08:03:57.886Z,compatibility_validator,anthropic,claude-sonnet-4-6,32220,603,2179,0,5649,0.053869
2026-05-05T08:04:00.360Z,compatibility_validator,anthropic,claude-sonnet-4-6,34694,641,1837,0,5649,0.048739
2026-05-05T09:44:47.447Z,compatibility_validator,anthropic,claude-sonnet-4-6,33094,641,1740,0,5649,0.047284
2026-05-05T09:44:48.978Z,compatibility_validator,anthropic,claude-sonnet-4-6,34625,603,1881,0,5649,0.049399
2026-05-05T09:46:18.918Z,compatibility_validator,anthropic,claude-sonnet-4-6,89931,1163,5417,5649,0,0.082950
